ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSDARG00000003219	492780	bin2a	bridging integrator 2a
ENSDARG00000003229	497643	gdf9	growth differentiation factor 9
ENSDARG00000003235	321744	nup88	nucleoporin 88
ENSDARG00000003244	100170660	si:ch211-195h23.3	si:ch211-195h23.3
ENSDARG00000003250	394174	pik3cd	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta
ENSDARG00000003251	64809	zbtb22b	zinc finger and BTB domain containing 22b
ENSDARG00000003257	492776	zgc:101559	zgc:101559
ENSDARG00000003259	404621	loxa	lysyl oxidase a
ENSDARG00000003269	559340	clcn3	chloride channel 3
ENSDARG00000003270	406329	dhps	deoxyhypusine synthase
ENSDARG00000003281	386643	pik3ip1	phosphoinositide-3-kinase interacting protein 1
ENSDARG00000003287	321652	wdr12	WD repeat domain 12
ENSDARG00000003290	678641	dab1b	DAB adaptor protein 1b
ENSDARG00000003293	60641	sox9a	SRY-box transcription factor 9a
ENSDARG00000003303	751747	stc1	stanniocalcin 1
ENSDARG00000003307	562857	stx16	syntaxin 16
ENSDARG00000003308	407073	emc2	ER membrane protein complex subunit 2
ENSDARG00000003311	570866	pank2	pantothenate kinase 2
ENSDARG00000003313	553062	eps8l1b	eps8 like 1b
ENSDARG00000003320	393413	fam91a1	family with sequence similarity 91 member A1
ENSDARG00000003326	797409	cacng5a	calcium channel, voltage-dependent, gamma subunit 5a
ENSDARG00000003328	100320914	slf2	SMC5-SMC6 complex localization factor 2
ENSDARG00000003344	562120	trpc2b	transient receptor potential cation channel subfamily C member 2b
ENSDARG00000003373	436694	commd2	COMM domain containing 2
ENSDARG00000003375	406604	gng12a	guanine nucleotide binding protein (G protein), gamma 12a
ENSDARG00000003380	562105	si:dkey-275b16.2	si:dkey-275b16.2
ENSDARG00000003381	565707	si:ch211-266g18.6	si:ch211-266g18.6
ENSDARG00000003382	406771	cwc25	CWC25 spliceosome associated protein homolog
ENSDARG00000003383	327200	asb8	ankyrin repeat and SOCS box containing 8
ENSDARG00000003395	553354	col4a3	collagen, type IV, alpha 3
ENSDARG00000003398	386772	rbpja	recombination signal binding protein for immunoglobulin kappa J region a
ENSDARG00000003399	30538	fgf8a	fibroblast growth factor 8a
ENSDARG00000003403	563094	tenm1	teneurin transmembrane protein 1
ENSDARG00000003411	30126	foxa2	forkhead box A2
ENSDARG00000003414	550473	capslb	calcyphosine-like b
ENSDARG00000003420	550584	chrna5	cholinergic receptor, nicotinic, alpha 5
ENSDARG00000003421	100136839	igf2bp2a	insulin-like growth factor 2 mRNA binding protein 2a
ENSDARG00000003429	406701	hnrnpdl	heterogeneous nuclear ribonucleoprotein D-like
ENSDARG00000003444	751626	dhrs7	dehydrogenase/reductase (SDR family) member 7
ENSDARG00000003446	541511	ippk	inositol 1,3,4,5,6-pentakisphosphate 2-kinase
ENSDARG00000003449	394077	pde10a	phosphodiesterase 10A
ENSDARG00000003462	58215	fech	ferrochelatase
ENSDARG00000003469	266958	neurod4	neuronal differentiation 4
ENSDARG00000003475	619193	sult1st5	sulfotransferase family 1, cytosolic sulfotransferase 5
ENSDARG00000003486	407980	ppp1caa	protein phosphatase 1, catalytic subunit, alpha isozyme a
ENSDARG00000003487	30172	nup93	nucleoporin 93
ENSDARG00000003495	100150917	madd	MAP-kinase activating death domain
ENSDARG00000003512	565408	anks1b	ankyrin repeat and sterile alpha motif domain containing 1B
ENSDARG00000003517	437018	impa1	inositol monophosphatase 1
ENSDARG00000003519	393641	aprt	adenine phosphoribosyltransferase
ENSDARG00000003520	557744	tbc1d14	TBC1 domain family, member 14
ENSDARG00000003523	555334	itln3	intelectin 3
ENSDARG00000003526	403011	psma5	proteasome 20S subunit alpha 5
ENSDARG00000003527	192312	mak16	MAK16 homolog (S. cerevisiae)
ENSDARG00000003531	336105	tcea1	transcription elongation factor A (SII), 1
ENSDARG00000003533	562442	col8a1b	collagen, type VIII, alpha 1b
ENSDARG00000003544	558759	adarb1b	adenosine deaminase RNA specific B1b
ENSDARG00000003553	100270671	gnrhr2	gonadotropin releasing hormone receptor 2
ENSDARG00000003564	321732	dohh	deoxyhypusine hydroxylase/monooxygenase
ENSDARG00000003570	386590	hsp90b1	heat shock protein 90, beta (grp94), member 1
ENSDARG00000003573	436770	dctn5	dynactin 5
ENSDARG00000003576	100009653	klhl32	kelch-like family member 32
ENSDARG00000003584	406470	pla2g7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)
ENSDARG00000003592	557970	surf1	SURF1 cytochrome c oxidase assembly factor
ENSDARG00000003599	322571	rpl3	ribosomal protein L3
ENSDARG00000003607	325637	nr2f6a	nuclear receptor subfamily 2, group F, member 6a
ENSDARG00000003615	563896	slc26a3.2	solute carrier family 26 member 3, tandem duplicate 2
ENSDARG00000003616	327005	arih1	ariadne ubiquitin-conjugating enzyme E2 binding protein homolog 1 (Drosophila)
ENSDARG00000003631	352927	clockb	clock circadian regulator b
ENSDARG00000003632	100136849	zgc:172270	zgc:172270
ENSDARG00000003635	494083	mogat3b	monoacylglycerol O-acyltransferase 3b
ENSDARG00000003641	336466	tfg	trafficking from ER to golgi regulator
ENSDARG00000003642	436685	zfyve19	zinc finger, FYVE domain containing 19
ENSDARG00000003655	406646	tmem59l	transmembrane protein 59-like
ENSDARG00000003675	751596	cryl1	crystallin, lambda 1
ENSDARG00000003680	767809	runx1t1	RUNX1 partner transcriptional co-repressor 1
ENSDARG00000003681	322256	eif5	eukaryotic translation initiation factor 5
ENSDARG00000003684	796577	obsl1a	obscurin like cytoskeletal adaptor 1a
ENSDARG00000003693	447847	hars	histidyl-tRNA synthetase
ENSDARG00000003695	406529	vdac3	voltage-dependent anion channel 3
ENSDARG00000003697	556156	slc5a8l	solute carrier family 5 member 8, like
ENSDARG00000003699	564924	atp7a	ATPase copper transporting alpha
ENSDARG00000003701	81586	cldng	claudin g
ENSDARG00000003705	503702	prnprs3	prion protein, related sequence 3
ENSDARG00000003706	568463	ryr2b	ryanodine receptor 2b (cardiac)
ENSDARG00000003732	30080	mitfa	melanocyte inducing transcription factor a
ENSDARG00000003749	554204	polb	polymerase (DNA directed), beta
ENSDARG00000003750	570437	pfas	phosphoribosylformylglycinamidine synthase
ENSDARG00000003751	553164	lats1	large tumor suppressor kinase 1
ENSDARG00000003754	378854	tspan2a	tetraspanin 2a
ENSDARG00000003757	402819	cnpy1	canopy FGF signaling regulator 1
ENSDARG00000003769	554156	tada2b	transcriptional adaptor 2B
ENSDARG00000003776	560360	pip4k2aa	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha a
ENSDARG00000003779	558069	ctnnd2b	catenin (cadherin-associated protein), delta 2b
ENSDARG00000003789	323528	dennd5b	DENN/MADD domain containing 5B
ENSDARG00000003795	386951	idh2	isocitrate dehydrogenase (NADP(+)) 2
ENSDARG00000003797	567986	asb2a.1	ankyrin repeat and SOCS box containing 2a, tandem duplicate 1
ENSDARG00000003803	NA	NA	NA
ENSDARG00000003808	406777	aqp3a	aquaporin 3a
ENSDARG00000003811	561433	plxnb2a	plexin b2a
ENSDARG00000003818	406440	prkag1	protein kinase, AMP-activated, gamma 1 non-catalytic subunit
ENSDARG00000003820	402815	nr1d2a	nuclear receptor subfamily 1, group D, member 2a
ENSDARG00000003822	550225	ankrd16	ankyrin repeat domain 16
ENSDARG00000003827	393224	snapc1b	small nuclear RNA activating complex, polypeptide 1b
ENSDARG00000003829	570248	galnt2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2
ENSDARG00000003835	81534	stom	stomatin
ENSDARG00000003841	445066	usb1	U6 snRNA biogenesis 1
ENSDARG00000003845	402935	chm	CHM Rab escort protein
ENSDARG00000003846	768305	mrpl21	mitochondrial ribosomal protein L21
ENSDARG00000003854	445175	acsl1b	acyl-CoA synthetase long chain family member 1b
ENSDARG00000003860	751689	cbx3a	chromobox homolog 3a (HP1 gamma homolog, Drosophila)
ENSDARG00000003865	100124652	pard6b	par-6 partitioning defective 6 homolog beta (C. elegans)
ENSDARG00000003866	334370	tm9sf2	transmembrane 9 superfamily member 2
ENSDARG00000003867	494112	cdk20	cyclin-dependent kinase 20
ENSDARG00000003869	436717	decr1	2,4-dienoyl CoA reductase 1, mitochondrial
ENSDARG00000003872	325319	ccdc102a	coiled-coil domain containing 102A
ENSDARG00000003877	565366	pbrm1	polybromo 1
ENSDARG00000003899	445301	zdhhc23b	zinc finger DHHC-type palmitoyltransferase 23b
ENSDARG00000003900	561988	gpr61l	G protein-coupled receptor 61-like
ENSDARG00000003902	436641	ctsl.1	cathepsin L.1
ENSDARG00000003903	558291	hapln2	hyaluronan and proteoglycan link protein 2
ENSDARG00000003904	402797	sycp1	synaptonemal complex protein 1
ENSDARG00000003909	565787	ftr01	finTRIM family, member 1
ENSDARG00000003910	564707	med13b	mediator complex subunit 13b
ENSDARG00000003920	321714	setb	SET nuclear proto-oncogene b
ENSDARG00000003925	404728	gjb9a	gap junction protein beta 9a
ENSDARG00000003927	81593	cldn12	claudin 12
ENSDARG00000003931	327288	cndp2	carnosine dipeptidase 2
ENSDARG00000003934	494087	nxnl2	nucleoredoxin like 2
ENSDARG00000003938	327491	rpa1	replication protein A1
ENSDARG00000003940	334296	mtfr1l	mitochondrial fission regulator 1-like
ENSDARG00000003941	337399	rrs1	ribosome biogenesis regulator 1 homolog
ENSDARG00000003944	569960	nmur1b	neuromedin U receptor 1b
ENSDARG00000003952	394235	pfn2	profilin 2
ENSDARG00000003961	335495	parp3	poly (ADP-ribose) polymerase family, member 3
ENSDARG00000003963	404045	traf4a	tnf receptor-associated factor 4a
ENSDARG00000003965	266964	tlx1	T cell leukemia homeobox 1
ENSDARG00000003968	565767	larp6b	La ribonucleoprotein 6, translational regulator b
ENSDARG00000003970	566281	trim35-13	tripartite motif containing 35-13
ENSDARG00000003971	30157	isl2a	ISL LIM homeobox 2a
ENSDARG00000003973	573996	chordc1a	cysteine and histidine-rich domain (CHORD) containing 1a
ENSDARG00000003974	558170	spoplb	speckle type BTB/POZ protein like b
ENSDARG00000003977	569930	zgc:153896	zgc:153896
ENSDARG00000003984	100000122	si:dkey-175g6.5	si:dkey-175g6.5
ENSDARG00000003989	567940	crhr1	corticotropin releasing hormone receptor 1
ENSDARG00000003991	450007	fhl2b	four and a half LIM domains 2b
ENSDARG00000003994	798433	syt9a	synaptotagmin IXa
ENSDARG00000003998	790943	phyhipla	phytanoyl-CoA 2-hydroxylase interacting protein-like a
ENSDARG00000004015	259257	adcyap1a	adenylate cyclase activating polypeptide 1a
ENSDARG00000004017	564953	spag1a	sperm associated antigen 1a
ENSDARG00000004018	565671	si:ch211-236h17.3	si:ch211-236h17.3
ENSDARG00000004023	30147	isl1	ISL LIM homeobox 1
ENSDARG00000004034	394132	arhgdig	Rho GDP dissociation inhibitor (GDI) gamma
ENSDARG00000004037	406663	cog2	component of oligomeric golgi complex 2
ENSDARG00000004046	327070	phf6	PHD finger protein 6
ENSDARG00000004049	554102	marcksa	myristoylated alanine-rich protein kinase C substrate a
ENSDARG00000004051	559097	cyp7a1b	cytochrome P450, family 7, subfamily A, polypeptide 1b
ENSDARG00000004055	562208	uhrf1bp1l	UHRF1 binding protein 1-like
ENSDARG00000004059	792268	galk2	galactokinase 2
ENSDARG00000004060	324413	bhlhe40	basic helix-loop-helix family, member e40
ENSDARG00000004074	555350	bach2b	BTB and CNC homology 1, basic leucine zipper transcription factor 2b
ENSDARG00000004078	393622	acsl4a	acyl-CoA synthetase long chain family member 4a
ENSDARG00000004082	404726	gja2	gap junction protein, alpha 2
ENSDARG00000004094	335159	acsbg2	acyl-CoA synthetase bubblegum family member 2
ENSDARG00000004105	30746	tie1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1
ENSDARG00000004109	NA	NA	NA
ENSDARG00000004111	259252	esr1	estrogen receptor 1
ENSDARG00000004114	570077	tti1	TELO2 interacting protein 1
ENSDARG00000004115	431727	mgat4b	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B
ENSDARG00000004130	492477	mvk	mevalonate kinase
ENSDARG00000004131	100151439	rttn	rotatin
ENSDARG00000004132	324335	usp19	ubiquitin specific peptidase 19
ENSDARG00000004141	436969	zgc:92630	zgc:92630
ENSDARG00000004150	336153	grm2a	glutamate receptor, metabotropic 2a
ENSDARG00000004151	553778	rab23	RAB23, member RAS oncogene family
ENSDARG00000004154	402892	orai1b	ORAI calcium release-activated calcium modulator 1b
ENSDARG00000004158	100000800	tmem63c	transmembrane protein 63C
ENSDARG00000004160	393130	reep3b	receptor accessory protein 3b
ENSDARG00000004161	322241	ik	IK cytokine
ENSDARG00000004167	550476	zgc:110366	zgc:110366
ENSDARG00000004169	678630	stmn1a	stathmin 1a
ENSDARG00000004171	407650	rabac1	Rab acceptor 1 (prenylated)
ENSDARG00000004173	260439	copa	COPI coat complex subunit alpha
ENSDARG00000004174	448949	cnot1	CCR4-NOT transcription complex, subunit 1
ENSDARG00000004176	561925	ulk4	unc-51 like kinase 4
ENSDARG00000004177	553309	fam169ab	family with sequence similarity 169 member Ab
ENSDARG00000004184	564518	nf1b	neurofibromin 1b
ENSDARG00000004187	641576	zgc:122979	zgc:122979
ENSDARG00000004189	326746	cbx1a	chromobox homolog 1a (HP1 beta homolog Drosophila)
ENSDARG00000004196	114466	tnfsf10l	TNF superfamily member 10, like
ENSDARG00000004199	791203	spam1	sperm adhesion molecule 1
ENSDARG00000004204	567323	efhc2	EF-hand domain (C-terminal) containing 2
ENSDARG00000004211	503526	ccdc106a	coiled-coil domain containing 106a
ENSDARG00000004218	553414	rnd1b	Rho family GTPase 1b
ENSDARG00000004219	80787	slc6a3	solute carrier family 6 member 3
ENSDARG00000004227	567051	pde3a	phosphodiesterase 3A, cGMP-inhibited
ENSDARG00000004232	30141	dlb	deltaB
ENSDARG00000004243	407667	asic4b	acid-sensing (proton-gated) ion channel family member 4b
ENSDARG00000004246	80353	slit2	slit homolog 2 (Drosophila)
ENSDARG00000004251	81882	dhfr	dihydrofolate reductase
ENSDARG00000004256	791595	wnt11f2	wnt 11, family member 2
ENSDARG00000004260	100006147	cul5b	cullin 5b
ENSDARG00000004261	613145	tmed9	transmembrane p24 trafficking protein 9
ENSDARG00000004262	393433	cyp46a1.2	cytochrome P450, family 46, subfamily A, polypeptide 1, tandem duplicate 2
ENSDARG00000004270	449995	atl3	atlastin 3
ENSDARG00000004274	541336	zgc:112496	zgc:112496
ENSDARG00000004280	334749	seh1l	SEH1-like (S. cerevisiae)
ENSDARG00000004282	402927	zgc:77375	zgc:77375
ENSDARG00000004291	563730	hecw1b	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1b
ENSDARG00000004296	394093	ambp	alpha-1-microglobulin/bikunin precursor
ENSDARG00000004297	324723	irf2bpl	interferon regulatory factor 2 binding protein-like
ENSDARG00000004301	336933	rhogb	ras homolog family member Gb
ENSDARG00000004302	791217	slc45a1	solute carrier family 45 member 1
ENSDARG00000004305	403076	vangl1	VANGL planar cell polarity protein 1
ENSDARG00000004306	327574	klhl18	kelch-like family member 18
ENSDARG00000004307	447932	lypd6	LY6/PLAUR domain containing 6
ENSDARG00000004308	548347	fam8a1b	family with sequence similarity 8 member A1b
ENSDARG00000004311	368278	ldlrap1a	low density lipoprotein receptor adaptor protein 1a
ENSDARG00000004318	406536	cbwd	COBW domain containing
ENSDARG00000004322	100330314	ush1ga	Usher syndrome 1Ga (autosomal recessive)
ENSDARG00000004325	492763	casp9	caspase 9, apoptosis-related cysteine peptidase
ENSDARG00000004328	799825	si:ch1073-284b18.2	si:ch1073-284b18.2
ENSDARG00000004336	559866	exoc4	exocyst complex component 4
ENSDARG00000004343	436648	nelfe	negative elongation factor complex member E
ENSDARG00000004358	436710	gnb3a	guanine nucleotide binding protein (G protein), beta polypeptide 3a
ENSDARG00000004363	494110	lhfpl6	LHFPL tetraspan subfamily member 6
ENSDARG00000004372	407694	fmnl3	formin-like 3
ENSDARG00000004377	563577	ppp1r13ba	protein phosphatase 1, regulatory subunit 13Ba
ENSDARG00000004378	337571	yrk	Yes-related kinase
ENSDARG00000004386	566596	si:dkey-153k10.9	si:dkey-153k10.9
ENSDARG00000004392	373093	hdr	hematopoietic death receptor
ENSDARG00000004396	791470	b3gnt5b	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5b
ENSDARG00000004402	317738	elovl6	ELOVL fatty acid elongase 6
ENSDARG00000004405	403027	snx10a	sorting nexin 10a
ENSDARG00000004406	554136	spra	sepiapterin reductase a
ENSDARG00000004415	30510	tcf7l2	transcription factor 7 like 2
ENSDARG00000004427	436711	dpy30	dpy-30 histone methyltransferase complex regulatory subunit
ENSDARG00000004433	568653	btk	Bruton agammaglobulinemia tyrosine kinase
ENSDARG00000004436	445210	cibar1	CBY1 interacting BAR domain containing 1
ENSDARG00000004445	568406	grm5a	glutamate receptor, metabotropic 5a
ENSDARG00000004447	793710	aplnr2	apelin receptor 2
ENSDARG00000004451	114461	tnfrsfa	tumor necrosis factor receptor superfamily, member a
ENSDARG00000004452	386630	tardbpl	TAR DNA binding protein, like
ENSDARG00000004455	373879	p2rx5	purinergic receptor P2X, ligand-gated ion channel, 5
ENSDARG00000004459	557454	unc119.2	unc-119 lipid binding chaperone B homolog 2
ENSDARG00000004460	445138	desi2	desumoylating isopeptidase 2
ENSDARG00000004470	394028	prkcsh	protein kinase C substrate 80K-H
ENSDARG00000004472	406389	atat1	alpha tubulin acetyltransferase 1
ENSDARG00000004473	797797	tbx21	T-box transcription factor 21
ENSDARG00000004492	553770	pcyt1ab	phosphate cytidylyltransferase 1, choline, alpha b
ENSDARG00000004497	436890	tspan33a	tetraspanin 33a
ENSDARG00000004498	100535571	xkr8.1	XK, Kell blood group complex subunit-related family, member 8, tandem duplicate 1
ENSDARG00000004502	563808	rcor3	REST corepressor 3
ENSDARG00000004517	572027	ppat	phosphoribosyl pyrophosphate amidotransferase
ENSDARG00000004525	393373	zgc:63882	zgc:63882
ENSDARG00000004527	553574	pin4	protein (peptidylprolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin)
ENSDARG00000004529	334557	zgc:173742	zgc:173742
ENSDARG00000004537	557048	kmt2a	lysine (K)-specific methyltransferase 2A
ENSDARG00000004539	246227	ptgs2a	prostaglandin-endoperoxide synthase 2a
ENSDARG00000004561	100003514	prkcg	protein kinase C, gamma
ENSDARG00000004574	563394	gtf3c2	general transcription factor IIIC, polypeptide 2, beta
ENSDARG00000004576	368390	plk4	polo-like kinase 4 (Drosophila)
ENSDARG00000004577	569012	zgc:194665	zgc:194665
ENSDARG00000004580	336257	nmnat2	nicotinamide nucleotide adenylyltransferase 2
ENSDARG00000004581	568615	sel1l	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase
ENSDARG00000004586	30546	ntrk1	neurotrophic tyrosine kinase, receptor, type 1
ENSDARG00000004587	436638	kat5a	K(lysine) acetyltransferase 5a
ENSDARG00000004588	336346	sox4a	SRY-box transcription factor 4a
ENSDARG00000004592	504167	gpr22a	G protein-coupled receptor 22a
ENSDARG00000004594	568719	znf800a	zinc finger protein 800a
ENSDARG00000004597	556747	lrrc4ba	leucine rich repeat containing 4Ba
ENSDARG00000004598	80357	or102-2	odorant receptor, family C, subfamily 102, member 2
ENSDARG00000004616	30644	mtmr2	myotubularin related protein 2
ENSDARG00000004618	445167	stx2a	syntaxin 2a
ENSDARG00000004621	407734	gpm6ab	glycoprotein M6Ab
ENSDARG00000004627	100149056	panx3	pannexin 3
ENSDARG00000004632	436868	egln1b	egl-9 family hypoxia-inducible factor 1b
ENSDARG00000004633	571453	epn3b	epsin 3b
ENSDARG00000004634	564372	osbp	oxysterol binding protein
